run_id,logged_at,event_subject,event_day,rule_action,human_decision,final_action,id,createdAt,updatedAt
69,2026-09-04T13:18:58.309Z,Team Sync,07.09.2026,cancel,Decline,keep,1,2026-09-04T13:18:58.390Z,2026-09-04T13:18:58.390Z
69,2026-09-04T13:18:58.309Z,Project Kickoff,07.09.2026,cancel,Decline,keep,2,2026-09-04T13:18:58.391Z,2026-09-04T13:18:58.391Z
69,2026-09-04T13:18:58.309Z,Budget review,08.09.2026,decline,Decline,keep,3,2026-09-04T13:18:58.392Z,2026-09-04T13:18:58.392Z
69,2026-09-04T13:18:58.309Z,Cross-Team Planning,08.09.2026,decline,Decline,keep,4,2026-09-04T13:18:58.392Z,2026-09-04T13:18:58.392Z
69,2026-09-04T13:18:58.309Z,Weekly (tbd),09.09.2026,decline,Decline,keep,5,2026-09-04T13:18:58.393Z,2026-09-04T13:18:58.393Z
69,2026-09-04T13:18:58.309Z,Quick Catch-Up,10.09.2026,delete,Decline,keep,6,2026-09-04T13:18:58.394Z,2026-09-04T13:18:58.394Z
69,2026-09-04T13:18:58.309Z,Review with Prof. (Supervisor),10.09.2026,cancel,Decline,keep,7,2026-09-04T13:18:58.394Z,2026-09-04T13:18:58.394Z
69,2026-09-04T13:18:58.309Z,Company Town Hall,11.09.2026,delete,Decline,keep,8,2026-09-04T13:18:58.395Z,2026-09-04T13:18:58.395Z
69,2026-09-04T13:18:58.309Z,Client Demo (you present),11.09.2026,decline,Decline,keep,9,2026-09-04T13:18:58.395Z,2026-09-04T13:18:58.395Z
69,2026-09-04T13:18:58.309Z,Board Preparation Meeting,11.09.2026,cancel,Decline,keep,10,2026-09-04T13:18:58.396Z,2026-09-04T13:18:58.396Z
