run_id,logged_at,event_subject,event_day,ai_action,ai_confidence,ai_reason,human_final_action,was_overridden,id,createdAt,updatedAt
70,2026-09-04T13:23:56.053Z,Team Sync,07.09.2026,cancel,0.9,"You are the organizer of a non-recurring Team Sync with 3 other attendees and responses are requested. As organizer, canceling will notify all attendees and remove the event for everyone while you are out of office.",keep,TRUE,1,2026-09-04T13:23:56.144Z,2026-09-04T13:23:56.144Z
70,2026-09-04T13:23:56.053Z,Project Kickoff,07.09.2026,cancel,0.9,"You are the organizer of a non-recurring Project Kickoff with 5 other attendees and responses are requested. As organizer, canceling will notify attendees and remove the meeting from all calendars while you are out of office.",keep,TRUE,2,2026-09-04T13:23:56.145Z,2026-09-04T13:23:56.145Z
70,2026-09-04T13:23:56.053Z,Budget review,08.09.2026,decline,0.9,"You are an invitee (not the organizer), a response is requested, and this is a single meeting with multiple attendees — decline the invitation so others are informed that you won't attend during your out-of-office.",keep,TRUE,3,2026-09-04T13:23:56.145Z,2026-09-04T13:23:56.145Z
70,2026-09-04T13:23:56.053Z,Cross-Team Planning,08.09.2026,decline,0.9,"You are an invitee (not the organizer), the invitation requests a response, and this is a single meeting. Since you're out of office, decline so organizers know you won't attend.",keep,TRUE,4,2026-09-04T13:23:56.146Z,2026-09-04T13:23:56.146Z
70,2026-09-04T13:23:56.053Z,Weekly (tbd),09.09.2026,decline,0.9,"You are not the organizer, the event is a single-instance meeting with 4 other attendees, and a response is requested. While out of office, the appropriate action is to decline so organizers know you won't attend.",keep,TRUE,5,2026-09-04T13:23:56.147Z,2026-09-04T13:23:56.147Z
70,2026-09-04T13:23:56.053Z,Quick Catch-Up,10.09.2026,delete,0.9,"You are not the organizer, the invite does not request a response, and this is a small one-off meeting. Removing it from your own calendar (delete) is appropriate during out-of-office so others are not notified.",keep,TRUE,6,2026-09-04T13:23:56.147Z,2026-09-04T13:23:56.147Z
70,2026-09-04T13:23:56.053Z,Review with Prof. (Supervisor),10.09.2026,cancel,0.9,You are the organizer and there are other attendees (2). As organizer it is appropriate to cancel the meeting during your out-of-office so attendees are notified and the event is removed for everyone.,keep,TRUE,7,2026-09-04T13:23:56.148Z,2026-09-04T13:23:56.148Z
70,2026-09-04T13:23:56.053Z,Focus Time (self),10.09.2026,keep,0.9,You are the organizer and there are no other attendees. This appears to be personal focus time (self); leave it unchanged so it remains on your calendar.,keep,FALSE,8,2026-09-04T13:23:56.149Z,2026-09-04T13:23:56.149Z
70,2026-09-04T13:23:56.053Z,Company Town Hall,11.09.2026,keep,0.9,"Large company town hall (51 other attendees), not the organizer, and no response was requested. This is likely an all-hands where the user should stay informed, so leave the event on the calendar.",keep,FALSE,9,2026-09-04T13:23:56.150Z,2026-09-04T13:23:56.150Z
70,2026-09-04T13:23:56.053Z,Client Demo (you present),11.09.2026,decline,0.8,"You are an invited presenter (not the organizer) and the invitation requests a response. Since you will be out of office, decline the invitation with a note so attendees/organizer know you cannot present; the meeting stays on others' calendars.",keep,TRUE,10,2026-09-04T13:23:56.151Z,2026-09-04T13:23:56.151Z
70,2026-09-04T13:23:56.053Z,Board Preparation Meeting,11.09.2026,cancel,0.9,"You are the organizer of a single-instance meeting with multiple attendees and responses requested. As organizer, the appropriate action during OOO is to cancel so attendees are notified and the event is removed for all.",keep,TRUE,11,2026-09-04T13:23:56.151Z,2026-09-04T13:23:56.151Z
71,2026-09-04T13:25:35.906Z,Team Sync,07.09.2026,cancel,0.9,"You are the organizer of a single-instance Team Sync with 3 other attendees and responses are requested. As organizer, cancelling will notify attendees and remove the event for everyone, which is appropriate while you are out of office.",keep,TRUE,12,2026-09-04T13:25:35.979Z,2026-09-04T13:25:35.979Z
71,2026-09-04T13:25:35.906Z,Project Kickoff,07.09.2026,cancel,0.9,"You are the organizer of a single-instance meeting with 5 other attendees and responses are requested. As organizer, cancelling while out of office notifies attendees and removes the event for everyone.",keep,TRUE,13,2026-09-04T13:25:35.980Z,2026-09-04T13:25:35.980Z
71,2026-09-04T13:25:35.906Z,Budget review,08.09.2026,decline,0.9,"You are an invitee (not the organizer), a response is requested, and the meeting has other attendees. Declining is appropriate to notify the organizer and attendees that you will not attend during your out-of-office period.",keep,TRUE,14,2026-09-04T13:25:35.981Z,2026-09-04T13:25:35.981Z
71,2026-09-04T13:25:35.906Z,Cross-Team Planning,08.09.2026,decline,0.9,"You are an invitee (not the organizer), the invitation requests a response, and this is a single meeting with multiple attendees. Declining with a note is appropriate so others know you won't attend while out of office.",keep,TRUE,15,2026-09-04T13:25:35.981Z,2026-09-04T13:25:35.981Z
71,2026-09-04T13:25:35.906Z,Weekly (tbd),09.09.2026,decline,0.9,"You are an invitee (not the organizer), the invitation requests a response, and this is a single non-recurring meeting. Declining notifies the organizer and keeps the event for others—appropriate while you're out of office.",keep,TRUE,16,2026-09-04T13:25:35.982Z,2026-09-04T13:25:35.982Z
71,2026-09-04T13:25:35.906Z,Quick Catch-Up,10.09.2026,delete,0.9,"You are an invitee (not the organizer), the invitation does not request a response, and this is a small one-off meeting. Best action is to remove it from your personal calendar without notifying others.",keep,TRUE,17,2026-09-04T13:25:35.983Z,2026-09-04T13:25:35.983Z
71,2026-09-04T13:25:35.906Z,Review with Prof. (Supervisor),10.09.2026,cancel,0.9,"You are the organizer and there are other attendees (2). As organizer, canceling will notify them and remove the meeting from everyone's calendars; this is appropriate during your out-of-office period.",keep,TRUE,18,2026-09-04T13:25:35.983Z,2026-09-04T13:25:35.983Z
71,2026-09-04T13:25:35.906Z,Focus Time (self),10.09.2026,keep,0.9,You are the organizer and there are no other attendees — this is personal Focus Time. It should be left unchanged rather than cancelling or declining (those apply when others are invited) and 'delete' is only for invited items.,keep,FALSE,19,2026-09-04T13:25:35.984Z,2026-09-04T13:25:35.984Z
71,2026-09-04T13:25:35.906Z,Company Town Hall,11.09.2026,keep,0.9,"This is a company town hall (large meeting with 51 other attendees). You are not the organizer and no response is requested. Such all-hands/town-hall events are typically important to stay informed about, so leave it on your calendar.",keep,FALSE,20,2026-09-04T13:25:35.985Z,2026-09-04T13:25:35.985Z
71,2026-09-04T13:25:35.906Z,Client Demo (you present),11.09.2026,decline,0.8,"You are not the organizer and the invite requests a response. As an invited presenter, decline the event for the out-of-office period so others are notified; organizer can reassign or reschedule if needed.",keep,TRUE,21,2026-09-04T13:25:35.985Z,2026-09-04T13:25:35.985Z
71,2026-09-04T13:25:35.906Z,Board Preparation Meeting,11.09.2026,cancel,0.9,"You are the organizer of a non-recurring meeting with 6 other attendees and responses were requested. While out of office, you should cancel to notify all attendees and remove the event for everyone.",keep,TRUE,22,2026-09-04T13:25:35.986Z,2026-09-04T13:25:35.986Z
75,2026-09-04T14:11:38.160Z,Team Sync,07.09.2026,cancel,0.9,"You are the organizer of a one-off Team Sync with 3 other attendees and a response was requested. As organizer, cancelling the meeting will notify attendees and remove it from everyone's calendars while you are out of office.",keep,TRUE,23,2026-09-04T14:11:38.240Z,2026-09-04T14:11:38.240Z
75,2026-09-04T14:11:38.160Z,Project Kickoff,07.09.2026,cancel,0.9,"You are the organizer and there are 5 other attendees; since the meeting occurs during your out-of-office period and a response was requested, canceling will notify all attendees and remove the event for everyone.",keep,TRUE,24,2026-09-04T14:11:38.241Z,2026-09-04T14:11:38.241Z
75,2026-09-04T14:11:38.160Z,Budget review,08.09.2026,decline,0.9,"User is an invitee (not organizer), a response is requested, and it's a single meeting with a small attendee list — appropriate to decline while out of office.",keep,TRUE,25,2026-09-04T14:11:38.242Z,2026-09-04T14:11:38.242Z
75,2026-09-04T14:11:38.160Z,Cross-Team Planning,08.09.2026,decline,0.9,"You are an invitee (not the organizer), the invitation requests a response, and this is a single meeting with many attendees. Declining is the appropriate action to notify the organizer and remove the item from your calendar for the out-of-office period.",keep,TRUE,26,2026-09-04T14:11:38.242Z,2026-09-04T14:11:38.242Z
75,2026-09-04T14:11:38.160Z,Weekly (tbd),09.09.2026,decline,0.9,"You are not the organizer, a response is requested, and there are other attendees — decline so the organizer and attendees are informed while the event remains on the calendar for them.",keep,TRUE,27,2026-09-04T14:11:38.243Z,2026-09-04T14:11:38.243Z
75,2026-09-04T14:11:38.160Z,Quick Catch-Up,10.09.2026,delete,0.9,"You are not the organizer, the invitation does not request a response, and this is a single small meeting. Removing it from your own calendar (delete) is appropriate so others are unaffected.",keep,TRUE,28,2026-09-04T14:11:38.244Z,2026-09-04T14:11:38.244Z
75,2026-09-04T14:11:38.160Z,Review with Prof. (Supervisor),10.09.2026,cancel,0.9,"You are the organizer of this one-on-one/small-group meeting with two other attendees; cancelling will notify participants and remove the event for everyone, which is appropriate during an out-of-office period.",keep,TRUE,29,2026-09-04T14:11:38.245Z,2026-09-04T14:11:38.245Z
75,2026-09-04T14:11:38.160Z,Focus Time (self),10.09.2026,keep,0.9,You are the organizer and there are no other attendees. This is a personal Focus Time (self) entry — keep it unchanged during out-of-office rather than canceling or declining.,keep,FALSE,30,2026-09-04T14:11:38.246Z,2026-09-04T14:11:38.246Z
75,2026-09-04T14:11:38.160Z,Company Town Hall,11.09.2026,keep,0.9,"Large company town hall (51 attendees), not the organizer, and no response requested. Such all-hands are typically important to remain scheduled/visible for the user.",keep,FALSE,31,2026-09-04T14:11:38.247Z,2026-09-04T14:11:38.247Z
75,2026-09-04T14:11:38.160Z,Client Demo (you present),11.09.2026,decline,0.9,"You are an invitee (not the organizer), a response is requested, and you are scheduled to present. Declining notifies the organizer so they can reschedule or assign a replacement; keeping the event would leave attendees expecting your participation.",keep,TRUE,32,2026-09-04T14:11:38.248Z,2026-09-04T14:11:38.248Z
75,2026-09-04T14:11:38.160Z,Board Preparation Meeting,11.09.2026,cancel,0.9,"You are the organizer and there are multiple attendees; cancelling will notify all participants and remove the meeting from everyone's calendars, which is appropriate during your out-of-office period.",keep,TRUE,33,2026-09-04T14:11:38.249Z,2026-09-04T14:11:38.249Z
76,2026-09-04T14:12:38.110Z,Team Sync,07.09.2026,cancel,0.9,You are the organizer of a non-recurring Team Sync with 3 other attendees and a response was requested; canceling will notify attendees and remove the meeting for everyone while you're out of office.,keep,TRUE,34,2026-09-04T14:12:38.187Z,2026-09-04T14:12:38.187Z
76,2026-09-04T14:12:38.110Z,Project Kickoff,07.09.2026,cancel,0.9,"You are the organizer and there are 5 other attendees with a requested response. As organizer, cancelling the meeting while you're out of office is appropriate to notify all attendees and remove it from everyone's calendars.",keep,TRUE,35,2026-09-04T14:12:38.188Z,2026-09-04T14:12:38.188Z
76,2026-09-04T14:12:38.110Z,Budget review,08.09.2026,decline,0.9,"You are an invitee (not the organizer), a response is requested, and the meeting occurs during your out-of-office period. Declining notifies the organizer and keeps the event on others' calendars.",keep,TRUE,36,2026-09-04T14:12:38.189Z,2026-09-04T14:12:38.189Z
76,2026-09-04T14:12:38.110Z,Cross-Team Planning,08.09.2026,decline,0.9,You are not the organizer and the invitation requests a response. Declining is appropriate to notify the organizer and remove the commitment from your calendar while you're out of office.,keep,TRUE,37,2026-09-04T14:12:38.189Z,2026-09-04T14:12:38.189Z
76,2026-09-04T14:12:38.110Z,Weekly (tbd),09.09.2026,decline,0.9,"You are an invitee (not the organizer) and the invitation requests a response. The event is a single meeting during your out-of-office period, so declining with a note is the appropriate action.",keep,TRUE,38,2026-09-04T14:12:38.190Z,2026-09-04T14:12:38.190Z
76,2026-09-04T14:12:38.110Z,Quick Catch-Up,10.09.2026,delete,0.9,"User is not the organizer, there are a few other attendees (3), and the invitation does not request a response—so remove the event from the user's calendar only.",keep,TRUE,39,2026-09-04T14:12:38.191Z,2026-09-04T14:12:38.191Z
76,2026-09-04T14:12:38.110Z,Review with Prof. (Supervisor),10.09.2026,cancel,0.9,"You are the organizer of this one-off meeting with 2 other attendees and responses were requested. Since you'll be out of office, canceling will notify participants and remove the event from everyone's calendars.",keep,TRUE,40,2026-09-04T14:12:38.192Z,2026-09-04T14:12:38.192Z
76,2026-09-04T14:12:38.110Z,Focus Time (self),10.09.2026,keep,0.9,"This is a personal ""Focus Time"" event that you organized and has no other attendees. It appears to be a self-managed block rather than a meeting to cancel or decline for others, so leaving it unchanged is the safe option.",keep,FALSE,41,2026-09-04T14:12:38.193Z,2026-09-04T14:12:38.193Z
76,2026-09-04T14:12:38.110Z,Company Town Hall,11.09.2026,keep,0.9,"Large company town hall (51 others), not the organizer, and no response requested. These all-hands are important to stay informed about, so leave the event unchanged.",keep,FALSE,42,2026-09-04T14:12:38.194Z,2026-09-04T14:12:38.194Z
76,2026-09-04T14:12:38.110Z,Client Demo (you present),11.09.2026,decline,0.9,"You are not the organizer, a response is requested, and you are scheduled to present. Since you're out of office and cannot attend to present, decline the invitation so the organizer is notified and can reassign or reschedule.",keep,TRUE,43,2026-09-04T14:12:38.195Z,2026-09-04T14:12:38.195Z
76,2026-09-04T14:12:38.110Z,Board Preparation Meeting,11.09.2026,cancel,0.9,"You are the organizer and there are multiple other attendees (6) with a response requested. As organizer, canceling the meeting during your out-of-office will notify attendees and remove the event for everyone.",keep,TRUE,44,2026-09-04T14:12:38.196Z,2026-09-04T14:12:38.196Z
77,2026-09-04T14:13:50.409Z,Team Sync,07.09.2026,cancel,0.9,"You are the organizer of this non-recurring Team Sync with 3 other attendees and responses are requested. As organizer, canceling will notify all attendees and remove the meeting from everyone’s calendars, which is appropriate while you are out of office.",keep,TRUE,45,2026-09-04T14:13:50.497Z,2026-09-04T14:13:50.497Z
77,2026-09-04T14:13:50.409Z,Project Kickoff,07.09.2026,cancel,0.9,"You are the organizer of a single (non-recurring) Project Kickoff with 5 other attendees and responses were requested. Since you're out of office, canceling will notify attendees and remove the meeting for everyone.",keep,TRUE,46,2026-09-04T14:13:50.498Z,2026-09-04T14:13:50.498Z
77,2026-09-04T14:13:50.409Z,Budget review,08.09.2026,decline,0.9,"You are an invitee (not the organizer), a response is requested, and this is a single meeting with multiple attendees. Declining while out of office is appropriate so others know you won't attend; the event remains on others' calendars.",keep,TRUE,47,2026-09-04T14:13:50.499Z,2026-09-04T14:13:50.499Z
77,2026-09-04T14:13:50.409Z,Cross-Team Planning,08.09.2026,decline,0.9,"You are not the organizer, the event requests a response, and there are multiple other attendees. The correct action for an invited attendee who must respond while out of office is to decline (with a note).",keep,TRUE,48,2026-09-04T14:13:50.500Z,2026-09-04T14:13:50.500Z
77,2026-09-04T14:13:50.409Z,Weekly (tbd),09.09.2026,decline,0.9,"You are an invitee (not the organizer), a response is requested, and this is a single meeting. Declining with a note is the appropriate action so others keep the meeting on their calendars while indicating you will be out.",keep,TRUE,49,2026-09-04T14:13:50.501Z,2026-09-04T14:13:50.501Z
